Delito,2019,2020,2021,2022,2023,2024,2025,Total
Feminicidio,521.0,546.0,593.0,569.0,512.0,487,384,3612.0
Homicidio culposo,8988.0,8041.0,9071.0,9658.0,9778.0,10457,9942,65935.0
Homicidio doloso,17267.0,17066.0,16796.0,15228.0,14891.0,15040,12519,108807.0
Otros delitos que atentan contra la vida y la integridad corporal,4618.0,5833.0,7286.0,7388.0,8210.0,8237,8464,50036.0
Total,31394.0,31486.0,33746.0,32843.0,33391.0,34221,31309,228390.0
