Periodo,Año,Mes,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Mayo 2024,2024,Mayo,Elota,2,3,0,5,10
Mayo 2024,2024,Mayo,Escuinapa,0,1,0,1,2
Mayo 2024,2024,Mayo,El Fuerte,0,6,0,1,7
Mayo 2024,2024,Mayo,Guasave,2,4,0,6,12
Mayo 2024,2024,Mayo,Mazatlán,2,8,0,22,32
Mayo 2024,2024,Mayo,Mocorito,2,1,0,1,4
Mayo 2024,2024,Mayo,Rosario,0,1,0,0,1
Mayo 2024,2024,Mayo,Salvador Alvarado,0,8,0,8,16
Mayo 2024,2024,Mayo,San Ignacio,0,1,0,2,3
Mayo 2024,2024,Mayo,Sinaloa,0,2,0,0,2
Mayo 2024,2024,Mayo,Navolato,4,4,0,0,8
Mayo 2024,2024,Mayo,Eldorado,0,0,0,0,0
Mayo 2024,2024,Mayo,Juan José Ríos,0,0,0,0,0
Junio 2024,2024,Junio,Ahome,1,9,0,7,17
Junio 2024,2024,Junio,Angostura,2,2,0,1,5
Junio 2024,2024,Junio,Badiraguato,1,0,0,0,1
Junio 2024,2024,Junio,Concordia,1,0,0,1,2
Junio 2024,2024,Junio,Cosalá,0,0,0,1,1
Junio 2024,2024,Junio,Culiacán,23,14,0,13,50
Junio 2024,2024,Junio,Choix,2,0,0,1,3
Junio 2024,2024,Junio,Elota,0,2,0,2,4
Junio 2024,2024,Junio,Escuinapa,0,3,0,2,5
Junio 2024,2024,Junio,El Fuerte,0,6,1,7,14
Junio 2024,2024,Junio,Guasave,2,5,0,2,9
Junio 2024,2024,Junio,Mazatlán,4,5,0,17,26
Junio 2024,2024,Junio,Mocorito,0,2,0,0,2
Junio 2024,2024,Junio,Rosario,0,3,0,1,4
Junio 2024,2024,Junio,Salvador Alvarado,2,1,0,0,3
Junio 2024,2024,Junio,San Ignacio,2,0,0,3,5
Junio 2024,2024,Junio,Sinaloa,0,1,0,0,1
Junio 2024,2024,Junio,Navolato,2,3,0,1,6
Junio 2024,2024,Junio,Eldorado,0,0,0,0,0
Junio 2024,2024,Junio,Juan José Ríos,0,0,0,0,0
Julio 2024,2024,Julio,Ahome,1,10,0,9,20
Julio 2024,2024,Julio,Angostura,0,1,0,1,2
Julio 2024,2024,Julio,Badiraguato,3,0,0,0,3
Julio 2024,2024,Julio,Concordia,0,1,0,0,1
Julio 2024,2024,Julio,Cosalá,0,0,0,0,0
Julio 2024,2024,Julio,Culiacán,23,15,1,6,45
Julio 2024,2024,Julio,Choix,0,1,0,3,4
Julio 2024,2024,Julio,Elota,1,3,0,1,5
Julio 2024,2024,Julio,Escuinapa,0,1,0,1,2
Julio 2024,2024,Julio,El Fuerte,0,1,1,6,8
Julio 2024,2024,Julio,Guasave,1,6,0,8,15
Julio 2024,2024,Julio,Mazatlán,3,10,0,25,38
Julio 2024,2024,Julio,Mocorito,1,1,0,1,3
Julio 2024,2024,Julio,Rosario,1,0,0,1,2
Julio 2024,2024,Julio,Salvador Alvarado,1,0,0,2,3
Julio 2024,2024,Julio,San Ignacio,0,1,0,1,2
Julio 2024,2024,Julio,Sinaloa,2,1,0,1,4
