Año,Mes,Municipio,Valor
2024,Agosto,Salvador Alvarado,42.0
2024,Agosto,San Ignacio,2.0
2024,Agosto,Sinaloa,21.0
2024,Septiembre,Ahome,563.0
2024,Septiembre,Angostura,34.0
2024,Septiembre,Badiraguato,7.0
2024,Septiembre,Choix,16.0
2024,Septiembre,Concordia,26.0
2024,Septiembre,Cosalá,3.0
2024,Septiembre,Culiacán,1104.0
2024,Septiembre,El Fuerte,67.0
2024,Septiembre,Eldorado,0.0
2024,Septiembre,Elota,44.0
2024,Septiembre,Escuinapa,25.0
2024,Septiembre,Guasave,229.0
2024,Septiembre,Juan José Ríos,0.0
2024,Septiembre,Mazatlán,646.0
2024,Septiembre,Mocorito,23.0
2024,Septiembre,Navolato,80.0
2024,Septiembre,Rosario,36.0
2024,Septiembre,Salvador Alvarado,52.0
2024,Septiembre,San Ignacio,7.0
2024,Septiembre,Sinaloa,29.0
2024,Octubre,Ahome,492.0
2024,Octubre,Angostura,42.0
2024,Octubre,Badiraguato,8.0
2024,Octubre,Choix,7.0
2024,Octubre,Concordia,13.0
2024,Octubre,Cosalá,8.0
2024,Octubre,Culiacán,1492.0
2024,Octubre,El Fuerte,52.0
2024,Octubre,Eldorado,0.0
2024,Octubre,Elota,63.0
2024,Octubre,Escuinapa,57.0
2024,Octubre,Guasave,229.0
2024,Octubre,Juan José Ríos,0.0
2024,Octubre,Mazatlán,707.0
2024,Octubre,Mocorito,22.0
2024,Octubre,Navolato,90.0
2024,Octubre,Rosario,33.0
2024,Octubre,Salvador Alvarado,60.0
2024,Octubre,San Ignacio,20.0
2024,Octubre,Sinaloa,23.0
2024,Noviembre,Ahome,491.0
2024,Noviembre,Angostura,40.0
2024,Noviembre,Badiraguato,4.0
2024,Noviembre,Choix,9.0
2024,Noviembre,Concordia,15.0
2024,Noviembre,Cosalá,5.0
2024,Noviembre,Culiacán,1451.0
2024,Noviembre,El Fuerte,45.0
2024,Noviembre,Eldorado,9.0
2024,Noviembre,Elota,43.0
2024,Noviembre,Escuinapa,33.0
2024,Noviembre,Guasave,296.0
2024,Noviembre,Juan José Ríos,7.0
2024,Noviembre,Mazatlán,680.0
2024,Noviembre,Mocorito,11.0
2024,Noviembre,Navolato,85.0
2024,Noviembre,Rosario,37.0
2024,Noviembre,Salvador Alvarado,52.0
2024,Noviembre,San Ignacio,18.0
2024,Noviembre,Sinaloa,19.0
2024,Diciembre,Ahome,437.0
2024,Diciembre,Angostura,34.0
2024,Diciembre,Badiraguato,3.0
2024,Diciembre,Choix,17.0
2024,Diciembre,Concordia,12.0
2024,Diciembre,Cosalá,4.0
2024,Diciembre,Culiacán,1071.0
2024,Diciembre,El Fuerte,58.0
2024,Diciembre,Eldorado,7.0
2024,Diciembre,Elota,36.0
2024,Diciembre,Escuinapa,37.0
2024,Diciembre,Guasave,223.0
2024,Diciembre,Juan José Ríos,6.0
2024,Diciembre,Mazatlán,558.0
2024,Diciembre,Mocorito,17.0
2024,Diciembre,Navolato,81.0
2024,Diciembre,Rosario,18.0
2024,Diciembre,Salvador Alvarado,52.0
2024,Diciembre,San Ignacio,12.0
2024,Diciembre,Sinaloa,19.0
2025,Enero,Ahome,541.0
2025,Enero,Angostura,37.0
2025,Enero,Badiraguato,3.0
2025,Enero,Choix,10.0
2025,Enero,Concordia,12.0
2025,Enero,Cosalá,6.0
2025,Enero,Culiacán,1280.0
2025,Enero,El Fuerte,44.0
2025,Enero,Eldorado,2.0
2025,Enero,Elota,45.0
2025,Enero,Escuinapa,38.0
2025,Enero,Guasave,211.0
2025,Enero,Juan José Ríos,13.0
2025,Enero,Mazatlán,708.0
2025,Enero,Mocorito,24.0
2025,Enero,Navolato,75.0
2025,Enero,Rosario,20.0
2025,Enero,Salvador Alvarado,51.0
2025,Enero,San Ignacio,20.0
2025,Enero,Sinaloa,31.0
2025,Febrero,Ahome,493.0
2025,Febrero,Angostura,35.0
2025,Febrero,Badiraguato,2.0
2025,Febrero,Choix,8.0
2025,Febrero,Concordia,10.0
2025,Febrero,Cosalá,4.0
2025,Febrero,Culiacán,1315.0
2025,Febrero,El Fuerte,59.0
2025,Febrero,Eldorado,1.0
2025,Febrero,Elota,37.0
2025,Febrero,Escuinapa,27.0
2025,Febrero,Guasave,258.0
2025,Febrero,Juan José Ríos,17.0
2025,Febrero,Mazatlán,625.0
2025,Febrero,Mocorito,20.0
2025,Febrero,Navolato,73.0
2025,Febrero,Rosario,33.0
2025,Febrero,Salvador Alvarado,39.0
2025,Febrero,San Ignacio,8.0
2025,Febrero,Sinaloa,32.0
2025,Marzo,Ahome,552.0
2025,Marzo,Angostura,48.0
2025,Marzo,Badiraguato,7.0
2025,Marzo,Choix,11.0
2025,Marzo,Concordia,14.0
2025,Marzo,Cosalá,6.0
2025,Marzo,Culiacán,1369.0
2025,Marzo,El Fuerte,52.0
2025,Marzo,Eldorado,8.0
2025,Marzo,Elota,36.0
2025,Marzo,Escuinapa,50.0
2025,Marzo,Guasave,243.0
2025,Marzo,Juan José Ríos,18.0
2025,Marzo,Mazatlán,688.0
2025,Marzo,Mocorito,22.0
2025,Marzo,Navolato,95.0
2025,Marzo,Rosario,38.0
2025,Marzo,Salvador Alvarado,51.0
2025,Marzo,San Ignacio,10.0
2025,Marzo,Sinaloa,28.0
2025,Abril,Ahome,512.0
2025,Abril,Angostura,38.0
2025,Abril,Badiraguato,7.0
2025,Abril,Choix,26.0
2025,Abril,Concordia,18.0
2025,Abril,Cosalá,8.0
2025,Abril,Culiacán,1338.0
2025,Abril,El Fuerte,50.0
2025,Abril,Eldorado,15.0
2025,Abril,Elota,49.0
2025,Abril,Escuinapa,47.0
2025,Abril,Guasave,211.0
2025,Abril,Juan José Ríos,17.0
2025,Abril,Mazatlán,724.0
2025,Abril,Mocorito,21.0
2025,Abril,Navolato,85.0
2025,Abril,Rosario,27.0
2025,Abril,Salvador Alvarado,37.0
2025,Abril,San Ignacio,12.0
2025,Abril,Sinaloa,16.0
2025,Mayo,Ahome,579.0
2025,Mayo,Angostura,49.0
2025,Mayo,Badiraguato,14.0
2025,Mayo,Choix,17.0
2025,Mayo,Concordia,11.0
2025,Mayo,Cosalá,7.0
2025,Mayo,Culiacán,1462.0
2025,Mayo,El Fuerte,40.0
2025,Mayo,Eldorado,11.0
